name                                description
etelfairi_homolog_chrom_end         Lesser hedgehog tenrec Chromosome End (bp)
etelfairi_homolog_orthology_type    Homology Type
etelfairi_homolog_subtype           Ancestor
etelfairi_homolog_perc_id           % Identity with respect to query gene
etelfairi_homolog_perc_id_r1        % Identity with respect to Lesser hedgehog tenrec gene
etelfairi_homolog_dn                dN
etelfairi_homolog_ds                dS
mmulatta_homolog_ensembl_gene       Macaque Ensembl Gene ID
mmulatta_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mmulatta_homolog_ensembl_peptide    Macaque Ensembl Protein ID
mmulatta_homolog_chromosome         Macaque Chromosome Name
mmulatta_homolog_chrom_start        Macaque Chromosome Start (bp)
mmulatta_homolog_chrom_end          Macaque Chromosome End (bp)
mmulatta_homolog_orthology_type     Homology Type
mmulatta_homolog_subtype            Ancestor
mmulatta_homolog_perc_id            % Identity with respect to query gene
mmulatta_homolog_perc_id_r1         % Identity with respect to Macaque gene
mmulatta_homolog_dn                 dN
mmulatta_homolog_ds                 dS
cjacchus_homolog_ensembl_gene       Marmoset Ensembl Gene ID
cjacchus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
cjacchus_homolog_ensembl_peptide    Marmoset Ensembl Protein ID
cjacchus_homolog_chromosome         Marmoset Chromosome Name
cjacchus_homolog_chrom_start        Marmoset Chromosome Start (bp)
cjacchus_homolog_chrom_end          Marmoset Chromosome End (bp)
cjacchus_homolog_orthology_type     Homology Type
cjacchus_homolog_subtype            Ancestor
cjacchus_homolog_perc_id            % Identity with respect to query gene
cjacchus_homolog_perc_id_r1         % Identity with respect to Marmoset gene
cjacchus_homolog_dn                 dN
cjacchus_homolog_ds                 dS
olatipes_homolog_ensembl_gene       Medaka Ensembl Gene ID
olatipes_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
olatipes_homolog_ensembl_peptide    Medaka Ensembl Protein ID
olatipes_homolog_chromosome         Medaka Chromosome Name
olatipes_homolog_chrom_start        Medaka Chromosome Start (bp)
olatipes_homolog_chrom_end          Medaka Chromosome End (bp)
olatipes_homolog_orthology_type     Homology Type
olatipes_homolog_subtype            Ancestor
olatipes_homolog_perc_id            % Identity with respect to query gene
olatipes_homolog_perc_id_r1         % Identity with respect to Medaka gene
olatipes_homolog_dn                 dN
olatipes_homolog_ds                 dS
pvampyrus_homolog_ensembl_gene      Megabat Ensembl Gene ID
pvampyrus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
pvampyrus_homolog_ensembl_peptide   Megabat Ensembl Protein ID
pvampyrus_homolog_chromosome        Megabat Chromosome Name
pvampyrus_homolog_chrom_start       Megabat Chromosome Start (bp)
pvampyrus_homolog_chrom_end         Megabat Chromosome End (bp)
pvampyrus_homolog_orthology_type    Homology Type
pvampyrus_homolog_subtype           Ancestor
pvampyrus_homolog_perc_id           % Identity with respect to query gene
pvampyrus_homolog_perc_id_r1        % Identity with respect to Megabat gene
pvampyrus_homolog_dn                dN
pvampyrus_homolog_ds                dS
mlucifugus_homolog_ensembl_gene     Microbat Ensembl Gene ID
mlucifugus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mlucifugus_homolog_ensembl_peptide  Microbat Ensembl Protein ID
mlucifugus_homolog_chromosome       Microbat Chromosome Name
mlucifugus_homolog_chrom_start      Microbat Chromosome Start (bp)
mlucifugus_homolog_chrom_end        Microbat Chromosome End (bp)
mlucifugus_homolog_orthology_type   Homology Type
mlucifugus_homolog_subtype          Ancestor
mlucifugus_homolog_perc_id          % Identity with respect to query gene
mlucifugus_homolog_perc_id_r1       % Identity with respect to Microbat gene
mlucifugus_homolog_dn               dN
mlucifugus_homolog_ds               dS
mmusculus_homolog_ensembl_gene      Mouse Ensembl Gene ID
mmusculus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mmusculus_homolog_ensembl_peptide   Mouse Ensembl Protein ID
mmusculus_homolog_chromosome        Mouse Chromosome Name
mmusculus_homolog_chrom_start       Mouse Chromosome Start (bp)
mmusculus_homolog_chrom_end         Mouse Chromosome End (bp)
mmusculus_homolog_orthology_type    Homology Type
mmusculus_homolog_subtype           Ancestor
mmusculus_homolog_perc_id           % Identity with respect to query gene
mmusculus_homolog_perc_id_r1        % Identity with respect to Mouse gene
mmusculus_homolog_dn                dN
mmusculus_homolog_ds                dS
mmurinus_homolog_ensembl_gene       Mouse Lemur Ensembl Gene ID
mmurinus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mmurinus_homolog_ensembl_peptide    Mouse Lemur Ensembl Protein ID
mmurinus_homolog_chromosome         Mouse Lemur Chromosome Name
mmurinus_homolog_chrom_start        Mouse Lemur Chromosome Start (bp)
mmurinus_homolog_chrom_end          Mouse Lemur Chromosome End (bp)
mmurinus_homolog_orthology_type     Homology Type
mmurinus_homolog_subtype            Ancestor
mmurinus_homolog_perc_id            % Identity with respect to query gene
mmurinus_homolog_perc_id_r1         % Identity with respect to Mouse Lemur gene
mmurinus_homolog_dn                 dN
mmurinus_homolog_ds                 dS
oniloticus_homolog_ensembl_gene     Nile tilapia Ensembl Gene ID
oniloticus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
oniloticus_homolog_ensembl_peptide  Nile tilapia Ensembl Protein ID
oniloticus_homolog_chromosome       Nile tilapia Chromosome Name
oniloticus_homolog_chrom_start      Nile tilapia Chromosome Start (bp)
oniloticus_homolog_chrom_end        Nile tilapia Chromosome End (bp)
oniloticus_homolog_orthology_type   Homology Type
oniloticus_homolog_subtype          Ancestor
oniloticus_homolog_perc_id          % Identity with respect to query gene
oniloticus_homolog_perc_id_r1       % Identity with respect to Nile tilapia gene
mdomestica_homolog_ensembl_gene     Opossum Ensembl Gene ID
mdomestica_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mdomestica_homolog_ensembl_peptide  Opossum Ensembl Protein ID
mdomestica_homolog_chromosome       Opossum Chromosome Name
mdomestica_homolog_chrom_start      Opossum Chromosome Start (bp)
mdomestica_homolog_chrom_end        Opossum Chromosome End (bp)
mdomestica_homolog_orthology_type   Homology Type
mdomestica_homolog_subtype          Ancestor
mdomestica_homolog_perc_id          % Identity with respect to query gene
mdomestica_homolog_perc_id_r1       % Identity with respect to Opossum gene
mdomestica_homolog_dn               dN
mdomestica_homolog_ds               dS
pabelii_homolog_ensembl_gene        Orangutan Ensembl Gene ID
pabelii_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
pabelii_homolog_ensembl_peptide     Orangutan Ensembl Protein ID
pabelii_homolog_chromosome          Orangutan Chromosome Name
pabelii_homolog_chrom_start         Orangutan Chromosome Start (bp)
pabelii_homolog_chrom_end           Orangutan Chromosome End (bp)
pabelii_homolog_orthology_type      Homology Type
pabelii_homolog_subtype             Ancestor
pabelii_homolog_perc_id             % Identity with respect to query gene
pabelii_homolog_perc_id_r1          % Identity with respect to Orangutan gene
pabelii_homolog_dn                  dN
pabelii_homolog_ds                  dS
amelanoleuca_homolog_ensembl_gene   Panda Ensembl Gene ID
amelanoleuca_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
amelanoleuca_homolog_ensembl_peptide Panda Ensembl Protein ID
amelanoleuca_homolog_chromosome     Panda Chromosome Name
amelanoleuca_homolog_chrom_start    Panda Chromosome Start (bp)
amelanoleuca_homolog_chrom_end      Panda Chromosome End (bp)
amelanoleuca_homolog_orthology_type Homology Type
amelanoleuca_homolog_subtype        Ancestor
amelanoleuca_homolog_perc_id        % Identity with respect to query gene
amelanoleuca_homolog_perc_id_r1     % Identity with respect to Panda gene
amelanoleuca_homolog_dn             dN
amelanoleuca_homolog_ds             dS
sscrofa_homolog_ensembl_gene        Pig Ensembl Gene ID
sscrofa_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
sscrofa_homolog_ensembl_peptide     Pig Ensembl Protein ID
sscrofa_homolog_chromosome          Pig Chromosome Name
sscrofa_homolog_chrom_start         Pig Chromosome Start (bp)
sscrofa_homolog_chrom_end           Pig Chromosome End (bp)
sscrofa_homolog_orthology_type      Homology Type
sscrofa_homolog_subtype             Ancestor
sscrofa_homolog_perc_id             % Identity with respect to query gene
sscrofa_homolog_perc_id_r1          % Identity with respect to Pig gene
sscrofa_homolog_dn                  dN
sscrofa_homolog_ds                  dS
oprinceps_homolog_ensembl_gene      Pika Ensembl Gene ID
oprinceps_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
oprinceps_homolog_ensembl_peptide   Pika Ensembl Protein ID
oprinceps_homolog_chromosome        Pika Chromosome Name
oprinceps_homolog_chrom_start       Pika Chromosome Start (bp)
oprinceps_homolog_chrom_end         Pika Chromosome End (bp)
oprinceps_homolog_orthology_type    Homology Type
oprinceps_homolog_subtype           Ancestor
oprinceps_homolog_perc_id           % Identity with respect to query gene
oprinceps_homolog_perc_id_r1        % Identity with respect to Pika gene
oprinceps_homolog_dn                dN
oprinceps_homolog_ds                dS
xmaculatus_homolog_ensembl_gene     Platyfish Ensembl Gene ID
xmaculatus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
xmaculatus_homolog_ensembl_peptide  Platyfish Ensembl Protein ID
xmaculatus_homolog_chromosome       Platyfish Chromosome Name
xmaculatus_homolog_chrom_start      Platyfish Chromosome Start (bp)
xmaculatus_homolog_chrom_end        Platyfish Chromosome End (bp)
xmaculatus_homolog_orthology_type   Homology Type
xmaculatus_homolog_subtype          Ancestor
xmaculatus_homolog_perc_id          % Identity with respect to query gene
xmaculatus_homolog_perc_id_r1       % Identity with respect to Platyfish gene
oanatinus_homolog_ensembl_gene      Platypus Ensembl Gene ID
oanatinus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
oanatinus_homolog_ensembl_peptide   Platypus Ensembl Protein ID
oanatinus_homolog_chromosome        Platypus Chromosome Name
oanatinus_homolog_chrom_start       Platypus Chromosome Start (bp)
oanatinus_homolog_chrom_end         Platypus Chromosome End (bp)
oanatinus_homolog_orthology_type    Homology Type
oanatinus_homolog_subtype           Ancestor
oanatinus_homolog_perc_id           % Identity with respect to query gene
oanatinus_homolog_perc_id_r1        % Identity with respect to Platypus gene
oanatinus_homolog_dn                dN
oanatinus_homolog_ds                dS
ocuniculus_homolog_ensembl_gene     Rabbit Ensembl Gene ID
ocuniculus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
ocuniculus_homolog_ensembl_peptide  Rabbit Ensembl Protein ID
ocuniculus_homolog_chromosome       Rabbit Chromosome Name
ocuniculus_homolog_chrom_start      Rabbit Chromosome Start (bp)
ocuniculus_homolog_chrom_end        Rabbit Chromosome End (bp)
ocuniculus_homolog_orthology_type   Homology Type
ocuniculus_homolog_subtype          Ancestor
ocuniculus_homolog_perc_id          % Identity with respect to query gene
ocuniculus_homolog_perc_id_r1       % Identity with respect to Rabbit gene
ocuniculus_homolog_dn               dN
ocuniculus_homolog_ds               dS
rnorvegicus_homolog_ensembl_gene    Rat Ensembl Gene ID
rnorvegicus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
rnorvegicus_homolog_ensembl_peptide Rat Ensembl Protein ID
rnorvegicus_homolog_chromosome      Rat Chromosome Name
rnorvegicus_homolog_chrom_start     Rat Chromosome Start (bp)
rnorvegicus_homolog_chrom_end       Rat Chromosome End (bp)
rnorvegicus_homolog_orthology_type  Homology Type
rnorvegicus_homolog_subtype         Ancestor
rnorvegicus_homolog_perc_id         % Identity with respect to query gene
rnorvegicus_homolog_perc_id_r1      % Identity with respect to Rat gene
rnorvegicus_homolog_dn              dN
rnorvegicus_homolog_ds              dS
pcapensis_homolog_ensembl_gene      Rock Hyrax Ensembl Gene ID
pcapensis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
pcapensis_homolog_ensembl_peptide   Rock Hyrax Ensembl Protein ID
pcapensis_homolog_chromosome        Rock Hyrax Chromosome Name
pcapensis_homolog_chrom_start       Rock Hyrax Chromosome Start (bp)
pcapensis_homolog_chrom_end         Rock Hyrax Chromosome End (bp)
pcapensis_homolog_orthology_type    Homology Type
pcapensis_homolog_subtype           Ancestor
pcapensis_homolog_perc_id           % Identity with respect to query gene
pcapensis_homolog_perc_id_r1        % Identity with respect to Rock Hyrax gene
pcapensis_homolog_dn                dN
pcapensis_homolog_ds                dS
choffmanni_homolog_ensembl_gene     Sloth Ensembl Gene ID
choffmanni_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
choffmanni_homolog_ensembl_peptide  Sloth Ensembl Protein ID
choffmanni_homolog_chromosome       Sloth Chromosome Name
choffmanni_homolog_chrom_start      Sloth Chromosome Start (bp)
choffmanni_homolog_chrom_end        Sloth Chromosome End (bp)
choffmanni_homolog_orthology_type   Homology Type
choffmanni_homolog_subtype          Ancestor
choffmanni_homolog_perc_id          % Identity with respect to query gene
choffmanni_homolog_perc_id_r1       % Identity with respect to Sloth gene
choffmanni_homolog_dn               dN
choffmanni_homolog_ds               dS
itridecemlineatus_homolog_ensembl_gene Squirrel Ensembl Gene ID
itridecemlineatus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
itridecemlineatus_homolog_ensembl_peptide Squirrel Ensembl Protein ID
itridecemlineatus_homolog_chromosome Squirrel Chromosome Name
itridecemlineatus_homolog_chrom_start Squirrel Chromosome Start (bp)
itridecemlineatus_homolog_chrom_end Squirrel Chromosome End (bp)
itridecemlineatus_homolog_orthology_type Homology Type
itridecemlineatus_homolog_subtype   Ancestor
itridecemlineatus_homolog_perc_id   % Identity with respect to query gene
itridecemlineatus_homolog_perc_id_r1 % Identity with respect to Squirrel gene
itridecemlineatus_homolog_dn        dN
itridecemlineatus_homolog_ds        dS
gaculeatus_homolog_ensembl_gene     Stickleback Ensembl Gene ID
gaculeatus_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
gaculeatus_homolog_ensembl_peptide  Stickleback Ensembl Protein ID
gaculeatus_homolog_chromosome       Stickleback Chromosome Name
gaculeatus_homolog_chrom_start      Stickleback Chromosome Start (bp)
gaculeatus_homolog_chrom_end        Stickleback Chromosome End (bp)
gaculeatus_homolog_orthology_type   Homology Type
gaculeatus_homolog_subtype          Ancestor
gaculeatus_homolog_perc_id          % Identity with respect to query gene
gaculeatus_homolog_perc_id_r1       % Identity with respect to Stickleback gene
gaculeatus_homolog_dn               dN
gaculeatus_homolog_ds               dS
tsyrichta_homolog_ensembl_gene      Tarsier Ensembl Gene ID
tsyrichta_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
tsyrichta_homolog_ensembl_peptide   Tarsier Ensembl Protein ID
tsyrichta_homolog_chromosome        Tarsier Chromosome Name
tsyrichta_homolog_chrom_start       Tarsier Chromosome Start (bp)
tsyrichta_homolog_chrom_end         Tarsier Chromosome End (bp)
tsyrichta_homolog_orthology_type    Homology Type
tsyrichta_homolog_subtype           Ancestor
tsyrichta_homolog_perc_id           % Identity with respect to query gene
tsyrichta_homolog_perc_id_r1        % Identity with respect to Tarsier gene
tsyrichta_homolog_dn                dN
tsyrichta_homolog_ds                dS
sharrisii_homolog_ensembl_gene      Tasmanian Devil Ensembl Gene ID
sharrisii_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
sharrisii_homolog_ensembl_peptide   Tasmanian Devil Ensembl Protein ID
sharrisii_homolog_chromosome        Tasmanian Devil Chromosome Name
sharrisii_homolog_chrom_start       Tasmanian Devil Chromosome Start (bp)
sharrisii_homolog_chrom_end         Tasmanian Devil Chromosome End (bp)
sharrisii_homolog_orthology_type    Homology Type
sharrisii_homolog_subtype           Ancestor
sharrisii_homolog_perc_id           % Identity with respect to query gene
sharrisii_homolog_perc_id_r1        % Identity with respect to Tasmanian Devil gene
sharrisii_homolog_dn                dN
sharrisii_homolog_ds                dS
tnigroviridis_homolog_ensembl_gene  Tetraodon Ensembl Gene ID
tnigroviridis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
tnigroviridis_homolog_ensembl_peptide Tetraodon Ensembl Protein ID
tnigroviridis_homolog_chromosome    Tetraodon Chromosome Name
tnigroviridis_homolog_chrom_start   Tetraodon Chromosome Start (bp)
tnigroviridis_homolog_chrom_end     Tetraodon Chromosome End (bp)
tnigroviridis_homolog_orthology_type Homology Type
tnigroviridis_homolog_subtype       Ancestor
tnigroviridis_homolog_perc_id       % Identity with respect to query gene
tnigroviridis_homolog_perc_id_r1    % Identity with respect to Tetraodon gene
tnigroviridis_homolog_dn            dN
tnigroviridis_homolog_ds            dS
tbelangeri_homolog_ensembl_gene     Tree Shrew Ensembl Gene ID
tbelangeri_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
tbelangeri_homolog_ensembl_peptide  Tree Shrew Ensembl Protein ID
tbelangeri_homolog_chromosome       Tree Shrew Chromosome Name
tbelangeri_homolog_chrom_start      Tree Shrew Chromosome Start (bp)
tbelangeri_homolog_chrom_end        Tree Shrew Chromosome End (bp)
tbelangeri_homolog_orthology_type   Homology Type
tbelangeri_homolog_subtype          Ancestor
tbelangeri_homolog_perc_id          % Identity with respect to query gene
tbelangeri_homolog_perc_id_r1       % Identity with respect to Tree Shrew gene
tbelangeri_homolog_dn               dN
tbelangeri_homolog_ds               dS
mgallopavo_homolog_ensembl_gene     Turkey Ensembl Gene ID
mgallopavo_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
mgallopavo_homolog_ensembl_peptide  Turkey Ensembl Protein ID
mgallopavo_homolog_chromosome       Turkey Chromosome Name
mgallopavo_homolog_chrom_start      Turkey Chromosome Start (bp)
mgallopavo_homolog_chrom_end        Turkey Chromosome End (bp)
mgallopavo_homolog_orthology_type   Homology Type
mgallopavo_homolog_subtype          Ancestor
mgallopavo_homolog_perc_id          % Identity with respect to query gene
mgallopavo_homolog_perc_id_r1       % Identity with respect to Turkey gene
mgallopavo_homolog_dn               dN
mgallopavo_homolog_ds               dS
meugenii_homolog_ensembl_gene       Wallaby Ensembl Gene ID
meugenii_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
meugenii_homolog_ensembl_peptide    Wallaby Ensembl Protein ID
meugenii_homolog_chromosome         Wallaby Chromosome Name
meugenii_homolog_chrom_start        Wallaby Chromosome Start (bp)
meugenii_homolog_chrom_end          Wallaby Chromosome End (bp)
meugenii_homolog_orthology_type     Homology Type
meugenii_homolog_subtype            Ancestor
meugenii_homolog_perc_id            % Identity with respect to query gene
meugenii_homolog_perc_id_r1         % Identity with respect to Wallaby gene
meugenii_homolog_dn                 dN
meugenii_homolog_ds                 dS
xtropicalis_homolog_ensembl_gene    Xenopus Ensembl Gene ID
xtropicalis_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
xtropicalis_homolog_ensembl_peptide Xenopus Ensembl Protein ID
xtropicalis_homolog_chromosome      Xenopus Chromosome Name
xtropicalis_homolog_chrom_start     Xenopus Chromosome Start (bp)
xtropicalis_homolog_chrom_end       Xenopus Chromosome End (bp)
xtropicalis_homolog_orthology_type  Homology Type
xtropicalis_homolog_subtype         Ancestor
xtropicalis_homolog_perc_id         % Identity with respect to query gene
xtropicalis_homolog_perc_id_r1      % Identity with respect to Xenopus gene
xtropicalis_homolog_dn              dN
xtropicalis_homolog_ds              dS
scerevisiae_homolog_ensembl_gene    Yeast Ensembl Gene ID
scerevisiae_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
scerevisiae_homolog_ensembl_peptide Yeast Ensembl Protein ID
scerevisiae_homolog_chromosome      Yeast Chromosome Name
scerevisiae_homolog_chrom_start     Yeast Chromosome Start (bp)
scerevisiae_homolog_chrom_end       Yeast Chromosome End (bp)
scerevisiae_homolog_orthology_type  Homology Type
scerevisiae_homolog_subtype         Ancestor
scerevisiae_homolog_perc_id         % Identity with respect to query gene
scerevisiae_homolog_perc_id_r1      % Identity with respect to Yeast gene
scerevisiae_homolog_dn              dN
scerevisiae_homolog_ds              dS
tguttata_homolog_ensembl_gene       Zebra Finch Ensembl Gene ID
tguttata_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
tguttata_homolog_ensembl_peptide    Zebra Finch Ensembl Protein ID
tguttata_homolog_chromosome         Zebra Finch Chromosome Name
tguttata_homolog_chrom_start        Zebra Finch Chromosome Start (bp)
tguttata_homolog_chrom_end          Zebra Finch Chromosome End (bp)
tguttata_homolog_orthology_type     Homology Type
tguttata_homolog_subtype            Ancestor
tguttata_homolog_perc_id            % Identity with respect to query gene
tguttata_homolog_perc_id_r1         % Identity with respect to Zebra Finch gene
tguttata_homolog_dn                 dN
tguttata_homolog_ds                 dS
drerio_homolog_ensembl_gene         Zebrafish Ensembl Gene ID
drerio_homolog_canonical_transcript_protein Canonical Protein or Transcript ID
drerio_homolog_ensembl_peptide      Zebrafish Ensembl Protein ID
drerio_homolog_chromosome           Zebrafish Chromosome Name
drerio_homolog_chrom_start          Zebrafish Chromosome Start (bp)
drerio_homolog_chrom_end            Zebrafish Chromosome End (bp)
drerio_homolog_orthology_type       Homology Type
drerio_homolog_subtype              Ancestor
drerio_homolog_perc_id              % Identity with respect to query gene
drerio_homolog_perc_id_r1           % Identity with respect to Zebrafish gene
drerio_homolog_dn                   dN
drerio_homolog_ds                   dS
vpacos_inter_paralog_ensembl_gene   Alpaca Ensembl Gene ID
vpacos_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
vpacos_inter_paralog_ensembl_peptide Alpaca Ensembl Protein ID
vpacos_inter_paralog_chromosome     Alpaca Chromosome Name
vpacos_inter_paralog_chrom_start    Alpaca Chromosome Start (bp)
vpacos_inter_paralog_chrom_end      Alpaca Chromosome End (bp)
vpacos_inter_paralog_orthology_type Homology Type
vpacos_inter_paralog_subtype        Ancestor
vpacos_inter_paralog_perc_id        % Identity with respect to query gene
vpacos_inter_paralog_perc_id_r1     % Identity with respect to Alpaca gene
vpacos_inter_paralog_dn             dN
vpacos_inter_paralog_ds             dS
acarolinensis_inter_paralog_ensembl_gene Anole Lizard Ensembl Gene ID
acarolinensis_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
acarolinensis_inter_paralog_ensembl_peptide Anole Lizard Ensembl Protein ID
acarolinensis_inter_paralog_chromosome Anole Lizard Chromosome Name
acarolinensis_inter_paralog_chrom_start Anole Lizard Chromosome Start (bp)
acarolinensis_inter_paralog_chrom_end Anole Lizard Chromosome End (bp)
acarolinensis_inter_paralog_orthology_type Homology Type
acarolinensis_inter_paralog_subtype Ancestor
acarolinensis_inter_paralog_perc_id % Identity with respect to query gene
acarolinensis_inter_paralog_perc_id_r1 % Identity with respect to Anole Lizard gene
acarolinensis_inter_paralog_dn      dN
acarolinensis_inter_paralog_ds      dS
dnovemcinctus_inter_paralog_ensembl_gene Armadillo Ensembl Gene ID
dnovemcinctus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
dnovemcinctus_inter_paralog_ensembl_peptide Armadillo Ensembl Protein ID
dnovemcinctus_inter_paralog_chromosome Armadillo Chromosome Name
dnovemcinctus_inter_paralog_chrom_start Armadillo Chromosome Start (bp)
dnovemcinctus_inter_paralog_chrom_end Armadillo Chromosome End (bp)
dnovemcinctus_inter_paralog_orthology_type Homology Type
dnovemcinctus_inter_paralog_subtype Ancestor
dnovemcinctus_inter_paralog_perc_id % Identity with respect to query gene
dnovemcinctus_inter_paralog_perc_id_r1 % Identity with respect to Armadillo gene
dnovemcinctus_inter_paralog_dn      dN
dnovemcinctus_inter_paralog_ds      dS
gmorhua_inter_paralog_ensembl_gene  Atlantic Cod Ensembl Gene ID
gmorhua_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
gmorhua_inter_paralog_ensembl_peptide Atlantic Cod Ensembl Protein ID
gmorhua_inter_paralog_chromosome    Atlantic Cod Chromosome Name
gmorhua_inter_paralog_chrom_start   Atlantic Cod Chromosome start (bp)
gmorhua_inter_paralog_chrom_end     Atlantic Cod Chromosome end (bp)
gmorhua_inter_paralog_orthology_type Homology Type
gmorhua_inter_paralog_subtype       Ancestor
gmorhua_inter_paralog_perc_id       % Identity with respect to query gene
gmorhua_inter_paralog_perc_id_r1    % Identity with respect to Atlantic Cod gene
ogarnettii_inter_paralog_ensembl_gene Bushbaby Ensembl Gene ID
ogarnettii_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ogarnettii_inter_paralog_ensembl_peptide Bushbaby Ensembl Protein ID
ogarnettii_inter_paralog_chromosome Bushbaby Chromosome Name
ogarnettii_inter_paralog_chrom_start Bushbaby Chromosome Start (bp)
ogarnettii_inter_paralog_chrom_end  Bushbaby Chromosome End (bp)
ogarnettii_inter_paralog_orthology_type Homology Type
ogarnettii_inter_paralog_subtype    Ancestor
ogarnettii_inter_paralog_perc_id    % Identity with respect to query gene
ogarnettii_inter_paralog_perc_id_r1 % Identity with respect to Bushbaby gene
ogarnettii_inter_paralog_dn         dN
ogarnettii_inter_paralog_ds         dS
celegans_inter_paralog_ensembl_gene Caenorhabditis elegans Ensembl Gene ID
celegans_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
celegans_inter_paralog_ensembl_peptide Caenorhabditis elegans Ensembl Protein ID
celegans_inter_paralog_chromosome   Caenorhabditis elegans Chromosome Name
celegans_inter_paralog_chrom_start  Caenorhabditis elegans Chromosome Start (bp)
celegans_inter_paralog_chrom_end    Caenorhabditis elegans Chromosome End (bp)
celegans_inter_paralog_orthology_type Homology Type
celegans_inter_paralog_subtype      Ancestor
celegans_inter_paralog_perc_id      % Identity with respect to query gene
celegans_inter_paralog_perc_id_r1   % Identity with respect to Caenorhabditis elegans gene
celegans_inter_paralog_dn           dN
celegans_inter_paralog_ds           dS
fcatus_inter_paralog_ensembl_gene   Cat Ensembl Gene ID
fcatus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
fcatus_inter_paralog_ensembl_peptide Cat Ensembl Protein ID
fcatus_inter_paralog_chromosome     Cat Chromosome Name
fcatus_inter_paralog_chrom_start    Cat Chromosome Start (bp)
fcatus_inter_paralog_chrom_end      Cat Chromosome End (bp)
fcatus_inter_paralog_orthology_type Homology Type
fcatus_inter_paralog_subtype        Ancestor
fcatus_inter_paralog_perc_id        % Identity with respect to query gene
fcatus_inter_paralog_perc_id_r1     % Identity with respect to Cat gene
fcatus_inter_paralog_dn             dN
fcatus_inter_paralog_ds             dS
ggallus_inter_paralog_ensembl_gene  Chicken Ensembl Gene ID
ggallus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ggallus_inter_paralog_ensembl_peptide Chicken Ensembl Protein ID
ggallus_inter_paralog_chromosome    Chicken Chromosome Name
ggallus_inter_paralog_chrom_start   Chicken Chromosome Start (bp)
ggallus_inter_paralog_chrom_end     Chicken Chromosome End (bp)
ggallus_inter_paralog_orthology_type Homology Type
ggallus_inter_paralog_subtype       Ancestor
ggallus_inter_paralog_perc_id       % Identity with respect to query gene
ggallus_inter_paralog_perc_id_r1    % Identity with respect to Chicken gene
ggallus_inter_paralog_dn            dN
ggallus_inter_paralog_ds            dS
ptroglodytes_inter_paralog_ensembl_gene Chimpanzee Ensembl Gene ID
ptroglodytes_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ptroglodytes_inter_paralog_ensembl_peptide Chimpanzee Ensembl Protein ID
ptroglodytes_inter_paralog_chromosome Chimpanzee Chromosome Name
ptroglodytes_inter_paralog_chrom_start Chimpanzee Chromosome Start (bp)
ptroglodytes_inter_paralog_chrom_end Chimpanzee Chromosome End (bp)
ptroglodytes_inter_paralog_orthology_type Homology Type
ptroglodytes_inter_paralog_subtype  Ancestor
ptroglodytes_inter_paralog_perc_id  % Identity with respect to query gene
ptroglodytes_inter_paralog_perc_id_r1 % Identity with respect to Chimpanzee gene
ptroglodytes_inter_paralog_dn       dN
ptroglodytes_inter_paralog_ds       dS
psinensis_inter_paralog_ensembl_gene Chinese softshell turtle Ensembl Gene ID
psinensis_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
